epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8866.95,1.35843,1.52102,0.00987,0.66394,0.65432,0.6664,0.45273,1.25413,1.19136,0.01252,0.00999987,0.00333329,0.00999987,0.00333329,0.00999987,0.00333329,0.00999987,0.00333329
2,17047.8,1.40826,1.58048,0.01003,0.69836,0.64792,0.68617,0.46849,1.23025,1.21104,0.01222,0.0190099,0.00633663,0.0190099,0.00633663,0.0190099,0.00633663,0.0190099,0.00633663
3,25263.8,1.46508,1.62442,0.01066,0.72643,0.5671,0.63635,0.43711,1.24109,1.62763,0.0129,0.0270299,0.00900996,0.0270299,0.00900996,0.0270299,0.00900996,0.0270299,0.00900996
4,33435.1,1.47459,1.60534,0.01074,0.22947,0.59676,0.39458,0.27654,1.42311,3.13456,0.01649,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,41604.6,1.42282,1.5041,0.01008,0.2622,0.39465,0.255,0.18201,1.53943,4.15434,0.01861,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,53031.9,1.38447,1.44345,0.00961,0.27047,0.38756,0.25065,0.1796,1.52972,4.19818,0.01819,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,67916.4,1.36136,1.39768,0.0093,0.24174,0.48586,0.31611,0.22455,1.45661,3.70127,0.01641,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,8114.31,1.38483,1.44153,0.00954,0.73939,0.33664,0.44124,0.31127,1.34095,2.75927,0.01439,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,16061.2,1.36179,1.39213,0.00926,0.69716,0.46987,0.53743,0.37853,1.26832,2.09967,0.01318,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,24023.5,1.32959,1.34612,0.00894,0.68669,0.54883,0.60677,0.42681,1.22003,1.69806,0.01231,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,31985.2,1.31617,1.1397,0.0101,0.69379,0.60221,0.65742,0.46349,1.19303,1.44109,0.01169,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,39930.5,1.28606,1.09662,0.00961,0.70475,0.63585,0.69107,0.4898,1.17026,1.2809,0.01112,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,47875.3,1.25984,1.06041,0.0093,0.71768,0.6579,0.71584,0.51021,1.15115,1.17403,0.01072,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,55819.3,1.23752,1.01568,0.00901,0.72135,0.67723,0.73468,0.52678,1.13332,1.0934,0.01029,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,63770.8,1.20657,0.97935,0.00859,0.74064,0.6892,0.7505,0.54155,1.11815,1.03249,0.00997,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,71729.6,1.18256,0.94729,0.0083,0.7545,0.69455,0.76088,0.55219,1.10419,0.98794,0.00963,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,79803.7,1.14958,0.90816,0.0079,0.7722,0.70014,0.77248,0.56271,1.09251,0.95251,0.00939,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,87873.9,1.12147,0.86351,0.00757,0.77524,0.7135,0.78429,0.57298,1.08236,0.91758,0.00913,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,95944.3,1.08782,0.82633,0.00722,0.77896,0.7226,0.79405,0.58132,1.0737,0.89113,0.00898,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,104015,1.06151,0.79271,0.00693,0.7912,0.72776,0.80296,0.58948,1.067,0.86192,0.00884,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
