epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7455,1.8585,1.84135,0.01252,0.84997,0.13889,0.17973,0.12736,1.92637,2.95735,0.01375,0.00032963,0.00032963,0.0673667
2,41.1353,1.73464,1.66882,0.01233,0.76491,0.14815,0.10662,0.05776,1.9181,2.50582,0.01459,0.000649836,0.000649836,0.0343535
3,62.902,1.52595,1.48292,0.01021,0.66136,0.10561,0.12216,0.06217,1.74504,2.65348,0.01243,0.000956843,0.000956843,0.00132721
4,84.148,1.42323,1.39211,0.00883,0.82461,0.12118,0.19451,0.07184,1.77125,3.00034,0.01299,0.0009406,0.0009406,0.0009406
5,106.025,1.4006,1.33478,0.00868,0.84169,0.11111,0.09753,0.05103,1.85127,2.44105,0.01442,0.0009208,0.0009208,0.0009208
6,127.345,1.4573,1.34089,0.01036,0.67083,0.10185,0.12195,0.06873,1.63599,2.62879,0.01149,0.000901,0.000901,0.000901
7,148.54,1.36584,1.27274,0.00871,0.65735,0.16667,0.11534,0.06001,1.80534,2.53675,0.0126,0.0008812,0.0008812,0.0008812
8,172.79,1.38469,1.16995,0.00942,0.80788,0.16098,0.12984,0.06898,1.92688,2.34011,0.01374,0.0008614,0.0008614,0.0008614
9,197.207,1.3648,1.03626,0.00889,0.79037,0.10185,0.10611,0.06233,1.93698,2.67536,0.01367,0.0008416,0.0008416,0.0008416
10,220.109,1.36953,1.11077,0.00952,0.74287,0.10185,0.09799,0.05876,1.84981,2.75447,0.01269,0.0008218,0.0008218,0.0008218
11,242.255,1.25773,1.0755,0.00867,0.55768,0.15926,0.11543,0.06362,1.89083,2.52966,0.0133,0.000802,0.000802,0.000802
12,266.716,1.31974,0.98404,0.00889,0.68143,0.15775,0.1212,0.07422,1.84642,2.31982,0.01307,0.0007822,0.0007822,0.0007822
13,292.044,1.36132,0.97353,0.00925,0.71945,0.17666,0.14657,0.08523,1.81661,2.45365,0.0131,0.0007624,0.0007624,0.0007624
14,315.064,1.31835,1.01897,0.00921,0.82698,0.12963,0.13914,0.07834,1.72968,2.60662,0.01181,0.0007426,0.0007426,0.0007426
15,339.021,1.21596,0.90724,0.00908,0.64742,0.19444,0.16636,0.09868,1.66826,2.4866,0.01144,0.0007228,0.0007228,0.0007228
16,362.852,1.22763,0.95696,0.00744,0.76345,0.15741,0.16079,0.09264,1.69688,2.3996,0.01216,0.000703,0.000703,0.000703
17,383.499,1.21089,0.89012,0.00777,0.89265,0.10185,0.15406,0.0977,1.78031,2.39964,0.0131,0.0006832,0.0006832,0.0006832
18,401.932,1.23534,0.9061,0.00773,0.41745,0.11442,0.16403,0.09877,1.78438,2.54931,0.01318,0.0006634,0.0006634,0.0006634
19,420.539,1.21636,0.86084,0.00852,0.45344,0.14739,0.17544,0.10677,1.81368,2.46143,0.01296,0.0006436,0.0006436,0.0006436
20,439.788,1.16596,0.81471,0.00793,0.89597,0.10185,0.17111,0.09632,1.90995,2.33281,0.01362,0.0006238,0.0006238,0.0006238
21,459.72,1.13898,0.82702,0.0082,0.6481,0.10544,0.1408,0.08871,1.97932,2.37669,0.01476,0.000604,0.000604,0.000604
