epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2922,1.72096,1.86581,0.01278,0.95201,0.13889,0.16116,0.10316,1.77005,2.51613,0.01284,5e-05,5e-05,5e-05
2,54.938,1.84373,2.06338,0.01251,0.83685,0.13889,0.15516,0.10089,1.72017,2.51513,0.01225,4.93333e-05,4.93333e-05,4.93333e-05
3,85.7981,1.75473,1.74466,0.01156,0.8305,0.13889,0.1592,0.09982,1.73217,2.32195,0.01286,4.86667e-05,4.86667e-05,4.86667e-05
4,114.6,1.71913,1.51692,0.01179,0.82303,0.13595,0.15772,0.10131,1.78656,2.2339,0.01345,4.8e-05,4.8e-05,4.8e-05
5,138.573,1.60057,1.64261,0.01215,0.81753,0.13889,0.15752,0.10187,1.77302,2.21692,0.01319,4.73333e-05,4.73333e-05,4.73333e-05
6,167.38,1.69961,1.48279,0.01228,0.79988,0.13889,0.15986,0.10339,1.79582,2.24919,0.01332,4.66667e-05,4.66667e-05,4.66667e-05
7,196.529,1.543,1.48363,0.01015,0.79177,0.14815,0.16293,0.10531,1.80422,2.15755,0.01321,4.6e-05,4.6e-05,4.6e-05
8,226.196,1.6764,1.49121,0.0114,0.69679,0.17593,0.17098,0.10935,1.78633,2.10933,0.01299,4.53333e-05,4.53333e-05,4.53333e-05
9,255.261,1.70979,1.52193,0.01098,0.70559,0.16654,0.17527,0.11203,1.81961,2.02729,0.01338,4.46667e-05,4.46667e-05,4.46667e-05
10,283.978,1.70733,1.53539,0.01122,0.68343,0.16667,0.17387,0.11222,1.822,1.99847,0.01349,4.4e-05,4.4e-05,4.4e-05
11,306.494,1.57499,1.34946,0.01014,0.69864,0.15741,0.1812,0.11876,1.83186,1.88072,0.01367,4.33333e-05,4.33333e-05,4.33333e-05
12,321.446,1.5192,1.23901,0.00935,0.70959,0.16667,0.18455,0.1283,1.79051,1.91636,0.01345,4.26667e-05,4.26667e-05,4.26667e-05
13,335.025,1.57544,1.27497,0.00955,0.69626,0.16667,0.18765,0.12399,1.8122,1.85401,0.01343,4.2e-05,4.2e-05,4.2e-05
14,348.121,1.52004,1.24843,0.00932,0.70323,0.16667,0.18563,0.12893,1.79203,1.88818,0.01345,4.13333e-05,4.13333e-05,4.13333e-05
15,362.366,1.57942,1.34649,0.01064,0.69127,0.18226,0.18511,0.12953,1.80122,1.9031,0.01355,4.06667e-05,4.06667e-05,4.06667e-05
16,375.988,1.53975,1.37034,0.00934,0.45243,0.18519,0.18783,0.12454,1.83326,1.8998,0.01366,4e-05,4e-05,4e-05
17,389.855,1.47794,1.14933,0.00919,0.47298,0.19406,0.19126,0.12632,1.83507,1.91945,0.01382,3.93333e-05,3.93333e-05,3.93333e-05
18,403.591,1.55104,1.13732,0.00987,0.48704,0.16995,0.19382,0.12754,1.83341,1.95416,0.0138,3.86667e-05,3.86667e-05,3.86667e-05
19,417.735,1.50282,1.21487,0.00878,0.47297,0.18684,0.19646,0.1194,1.85212,1.91902,0.01395,3.8e-05,3.8e-05,3.8e-05
20,433.004,1.46867,1.21099,0.00945,0.47867,0.18519,0.19536,0.12091,1.83108,1.91263,0.01371,3.73333e-05,3.73333e-05,3.73333e-05
21,447.813,1.49321,1.09319,0.00909,0.48342,0.18519,0.20129,0.12835,1.89263,1.82977,0.0147,3.66667e-05,3.66667e-05,3.66667e-05
22,463.107,1.51312,1.19093,0.00854,0.48139,0.18519,0.19707,0.12145,1.78423,1.99076,0.01348,3.6e-05,3.6e-05,3.6e-05
23,477.844,1.524,1.14999,0.00877,0.47165,0.18519,0.19796,0.12211,1.88395,1.82809,0.01458,3.53333e-05,3.53333e-05,3.53333e-05
24,492.206,1.40662,1.08972,0.00876,0.44931,0.19131,0.19742,0.12172,1.79675,1.9118,0.01346,3.46667e-05,3.46667e-05,3.46667e-05
25,506.505,1.44251,1.15561,0.00874,0.59045,0.18519,0.1961,0.12625,1.7696,1.88051,0.01317,3.4e-05,3.4e-05,3.4e-05
26,522.183,1.39812,1.03979,0.00891,0.56889,0.18519,0.20053,0.12531,1.86034,1.78919,0.01427,3.33333e-05,3.33333e-05,3.33333e-05
27,538.061,1.49036,1.13666,0.00868,0.57322,0.18519,0.19896,0.12854,1.81519,1.78422,0.0138,3.26667e-05,3.26667e-05,3.26667e-05
28,552.448,1.43606,1.07461,0.00868,0.57393,0.18519,0.19693,0.12591,1.72083,1.95822,0.01299,3.2e-05,3.2e-05,3.2e-05
29,566.651,1.41982,1.09818,0.00943,0.57117,0.18519,0.19684,0.12313,1.75002,1.91485,0.01299,3.13333e-05,3.13333e-05,3.13333e-05
30,580.373,1.45166,1.0502,0.00903,0.45005,0.20066,0.20258,0.11984,1.82274,1.76059,0.01385,3.06667e-05,3.06667e-05,3.06667e-05
