epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9556,1.80326,1.51195,0.01112,0.88922,0.31536,0.38047,0.27882,1.61866,1.55959,0.01144,5e-05,5e-05,5e-05
2,49.0382,1.84385,1.59635,0.01082,0.75931,0.39118,0.41301,0.29212,1.61959,1.57854,0.0115,4.93333e-05,4.93333e-05,4.93333e-05
3,72.4901,1.77745,1.53806,0.01048,0.745,0.35822,0.38604,0.2881,1.65652,1.50441,0.01191,4.86667e-05,4.86667e-05,4.86667e-05
4,95.5513,1.74855,1.4915,0.01017,0.77744,0.32301,0.38657,0.28853,1.62195,1.61647,0.01121,4.8e-05,4.8e-05,4.8e-05
5,118.299,1.83048,1.40546,0.01085,0.80209,0.30229,0.35284,0.26884,1.6235,1.68345,0.01112,4.73333e-05,4.73333e-05,4.73333e-05
6,140.725,1.76855,1.37892,0.01083,0.70269,0.31686,0.38142,0.2895,1.63098,1.6909,0.01108,4.66667e-05,4.66667e-05,4.66667e-05
7,163.404,1.71776,1.26569,0.01027,0.66465,0.3366,0.37296,0.28231,1.68235,1.69733,0.01158,4.6e-05,4.6e-05,4.6e-05
8,186.126,1.65966,1.20253,0.00998,0.88684,0.29338,0.37216,0.28522,1.66172,1.70446,0.01152,4.53333e-05,4.53333e-05,4.53333e-05
9,209.394,1.71784,1.26526,0.00992,0.89136,0.30145,0.37124,0.28234,1.66283,1.67698,0.01177,4.46667e-05,4.46667e-05,4.46667e-05
10,232.247,1.67942,1.20795,0.00889,0.89553,0.30125,0.36874,0.28479,1.63992,1.65487,0.01122,4.4e-05,4.4e-05,4.4e-05
11,255.013,1.60512,1.15779,0.00908,0.89899,0.30363,0.37088,0.28588,1.64391,1.64702,0.01126,4.33333e-05,4.33333e-05,4.33333e-05
12,278.262,1.64898,1.11854,0.00973,0.88815,0.30531,0.3718,0.28839,1.67778,1.62796,0.01179,4.26667e-05,4.26667e-05,4.26667e-05
13,307.289,1.60337,1.10712,0.00948,0.88439,0.3024,0.37312,0.28725,1.66042,1.58879,0.0117,4.2e-05,4.2e-05,4.2e-05
14,331.765,1.613,1.11103,0.00889,0.85499,0.31677,0.37099,0.29663,1.65167,1.60417,0.01155,4.13333e-05,4.13333e-05,4.13333e-05
15,362.161,1.57207,1.13708,0.00994,0.85227,0.32123,0.37185,0.29571,1.65927,1.576,0.0116,4.06667e-05,4.06667e-05,4.06667e-05
16,390.658,1.63172,1.08084,0.00955,0.8027,0.34465,0.3596,0.28733,1.61276,1.66363,0.01127,4e-05,4e-05,4e-05
17,412.994,1.57919,0.85318,0.00795,0.81999,0.33339,0.35064,0.27818,1.61582,1.64304,0.0112,3.93333e-05,3.93333e-05,3.93333e-05
18,437.13,1.56235,0.93277,0.0086,0.85875,0.30174,0.34286,0.27251,1.61845,1.62787,0.01114,3.86667e-05,3.86667e-05,3.86667e-05
19,462.08,1.60321,1.02591,0.00905,0.83088,0.32706,0.34277,0.27278,1.62847,1.61974,0.01116,3.8e-05,3.8e-05,3.8e-05
20,486.012,1.55445,1.00322,0.00808,0.83445,0.32918,0.34112,0.27287,1.63,1.61529,0.01117,3.73333e-05,3.73333e-05,3.73333e-05
21,508.918,1.45746,0.96194,0.00797,0.83839,0.3272,0.34353,0.27367,1.62163,1.60085,0.01116,3.66667e-05,3.66667e-05,3.66667e-05
22,530.958,1.57383,0.99916,0.00864,0.83785,0.33334,0.33961,0.27157,1.62334,1.62321,0.01105,3.6e-05,3.6e-05,3.6e-05
23,553.548,1.50629,0.90493,0.00779,0.62241,0.37442,0.34462,0.27673,1.6077,1.62331,0.01094,3.53333e-05,3.53333e-05,3.53333e-05
24,576.648,1.498,0.88087,0.00856,0.84913,0.33386,0.34229,0.27471,1.59014,1.63547,0.01054,3.46667e-05,3.46667e-05,3.46667e-05
25,599.151,1.56538,0.91042,0.00875,0.84868,0.33752,0.33961,0.27292,1.61283,1.6237,0.01088,3.4e-05,3.4e-05,3.4e-05
26,621.729,1.4901,0.89772,0.00797,0.62687,0.36891,0.34646,0.27996,1.639,1.58256,0.01102,3.33333e-05,3.33333e-05,3.33333e-05
27,646.516,1.45904,0.92751,0.00819,0.8514,0.3366,0.34986,0.26611,1.60241,1.59964,0.01086,3.26667e-05,3.26667e-05,3.26667e-05
28,674.098,1.56462,0.86308,0.00831,0.73572,0.37576,0.35323,0.27012,1.60934,1.5703,0.01086,3.2e-05,3.2e-05,3.2e-05
29,698.09,1.42663,0.80612,0.00775,0.62174,0.37512,0.36608,0.28759,1.59825,1.59163,0.01083,3.13333e-05,3.13333e-05,3.13333e-05
