epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6017.7,0.94325,0.79741,1.09284,0.00907,0.43631,0.80516,0.84255,0.8512,0.6149,0.80305,0.83824,0.84558,0.58232,0.81673,0.6594,0.48052,0.01237,0,0.0099998,0.00333327,0.0099998,0.00333327,0.0099998,0.00333327,0.0099998,0.00333327
2,10872.1,0.94511,0.70994,0.53136,0.00695,0.15538,0.84625,0.85692,0.8793,0.61895,0.84073,0.85088,0.87099,0.59237,0.84568,0.64722,0.41689,0.01404,0,0.0193398,0.0064466,0.0193398,0.0064466,0.0193398,0.0064466,0.0193398,0.0064466
3,15728.9,1.03369,0.70757,0.55353,0.00726,0.16111,0.77002,0.81331,0.83126,0.57914,0.77859,0.8221,0.8442,0.55331,0.80002,0.64758,0.45793,0.01233,0,0.0280198,0.00933994,0.0280198,0.00933994,0.0280198,0.00933994,0.0280198,0.00933994
4,20527.2,0.98691,0.71204,0.53972,0.00674,0.16203,0.83591,0.82487,0.84934,0.58444,0.85016,0.83933,0.87997,0.57688,0.78783,0.6444,0.41301,0.01288,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,25368.4,0.89847,0.69057,0.47475,0.00571,0.14382,0.84228,0.82377,0.85312,0.6042,0.84755,0.83458,0.87081,0.57505,0.729,0.63246,0.39622,0.01141,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,30174.3,0.83986,0.67446,0.44831,0.00517,0.13239,0.82555,0.81612,0.84958,0.60838,0.83438,0.82952,0.86914,0.57457,0.69018,0.6273,0.38128,0.01054,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,35007.5,0.80511,0.67128,0.42127,0.0048,0.12888,0.82832,0.83015,0.86796,0.62052,0.83723,0.8423,0.88134,0.58687,0.68383,0.62455,0.36692,0.01056,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,39803,0.77415,0.65975,0.3965,0.00454,0.12236,0.81016,0.86752,0.87799,0.62452,0.82707,0.86911,0.89071,0.58572,0.67085,0.61477,0.35593,0.01043,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,44650.1,0.75276,0.65456,0.37959,0.0043,0.11743,0.84694,0.86927,0.88822,0.63241,0.85233,0.87736,0.89718,0.59297,0.65675,0.61251,0.34633,0.01006,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,49451.6,0.73123,0.64753,0.36248,0.00411,0.11314,0.82529,0.87534,0.88242,0.62672,0.84231,0.87879,0.89701,0.59171,0.6526,0.60358,0.35009,0.01005,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,54273.9,0.71455,0.64018,0.35297,0.00397,0.10991,0.80425,0.88381,0.88283,0.62763,0.81719,0.89171,0.90037,0.58735,0.65106,0.60776,0.34887,0.01022,0,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,59096.3,0.70047,0.63815,0.34786,0.00388,0.10862,0.83578,0.89836,0.90068,0.63742,0.8413,0.90963,0.91563,0.5977,0.64798,0.60611,0.3483,0.01025,0,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,65450,0.68345,0.62973,0.33497,0.00367,0.10409,0.85058,0.8973,0.90158,0.63869,0.86017,0.91211,0.92106,0.59938,0.64467,0.60187,0.3514,0.01019,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
