epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.45068,2.67273,3.40324,5.04019,0.02127,0.95672,0.12969,0.03922,0.02548,0.01602,0.02874,0.04902,0.01706,0.00923,2.92392,3.58032,6.07084,0.03678,0,5e-05,5e-05,5e-05
2,12.7734,2.60612,3.64035,4.57897,0.02245,0.96801,0.14507,0.06016,0.04369,0.02585,0.14507,0.06016,0.03792,0.01895,3.01277,3.71086,5.72279,0.03134,0,4.92e-05,4.92e-05,4.92e-05
3,18.6742,2.87301,3.82408,4.86344,0.02838,0.99227,0.14507,0.06016,0.04369,0.02585,0.14507,0.06016,0.03792,0.01895,3.01277,3.71086,5.72279,0.03134,0,4.84e-05,4.84e-05,4.84e-05
4,24.124,2.80761,3.67216,4.83682,0.02622,0.90283,0.19515,0.05882,0.04733,0.02588,0.19515,0.05882,0.0387,0.01777,2.95918,3.58847,5.57461,0.02967,0,4.76e-05,4.76e-05,4.76e-05
5,29.759,2.66406,3.43169,4.77197,0.02321,0.95434,0.18258,0.05882,0.04429,0.02414,0.18258,0.05882,0.03585,0.01674,3.02189,3.65418,5.66232,0.03051,0,4.68e-05,4.68e-05,4.68e-05
6,35.0941,2.77302,3.79731,4.79926,0.02584,1.00484,0.18258,0.05882,0.04429,0.02414,0.18258,0.05882,0.03585,0.01674,3.02189,3.65418,5.66232,0.03051,0,4.6e-05,4.6e-05,4.6e-05
7,40.5013,2.49293,3.32591,4.66678,0.02191,0.93615,0.12542,0.07556,0.04729,0.02466,0.1723,0.05882,0.03573,0.01738,2.91229,3.59766,5.36107,0.02908,0,4.52e-05,4.52e-05,4.52e-05
8,46.6124,2.49976,3.06301,4.44586,0.02094,0.83591,0.13953,0.08824,0.0566,0.03024,0.13953,0.08824,0.0484,0.02012,2.7806,3.18412,5.14611,0.02679,0,4.44e-05,4.44e-05,4.44e-05
9,52.3558,2.48343,3.24578,4.37395,0.02102,0.72701,0.13953,0.08824,0.0566,0.03024,0.13953,0.08824,0.0484,0.02012,2.7806,3.18412,5.14611,0.02679,0,4.36e-05,4.36e-05,4.36e-05
10,58.2395,2.69654,3.30124,4.44825,0.02284,0.70425,0.13879,0.08824,0.06266,0.03459,0.1797,0.05882,0.04556,0.02195,2.7297,3.1063,5.03831,0.0262,0,4.28e-05,4.28e-05,4.28e-05
11,65.4396,2.49328,2.83922,4.28172,0.02274,0.73146,0.1474,0.08824,0.05673,0.02969,0.13534,0.07843,0.04417,0.01971,2.76153,3.04824,5.08209,0.02687,0,4.2e-05,4.2e-05,4.2e-05
12,71.8966,2.4733,2.79116,4.41622,0.02211,0.68042,0.1474,0.08824,0.05673,0.02969,0.13534,0.07843,0.04417,0.01971,2.76153,3.04824,5.08209,0.02687,0,4.12e-05,4.12e-05,4.12e-05
13,77.8286,2.62195,3.41546,4.59841,0.02558,0.77769,0.15126,0.08824,0.06058,0.03333,0.1495,0.08824,0.05059,0.02163,2.68787,2.97255,5.00463,0.02541,0,4.04e-05,4.04e-05,4.04e-05
14,84.0881,2.38693,2.75995,4.0932,0.02337,0.64406,0.15126,0.08824,0.06058,0.03333,0.1495,0.08824,0.05059,0.02163,2.68787,2.97255,5.00463,0.02541,0,3.96e-05,3.96e-05,3.96e-05
15,90.3468,2.58988,3.07376,4.1451,0.02345,0.66372,0.14587,0.08824,0.06512,0.03544,0.14587,0.08824,0.0558,0.02561,2.67298,2.86254,4.83804,0.02566,0,3.88e-05,3.88e-05,3.88e-05
16,96.4544,2.26896,2.65505,3.97691,0.01759,0.63291,0.13089,0.09804,0.06625,0.03546,0.13089,0.09804,0.05566,0.02529,2.67355,2.83205,4.73577,0.02525,0,3.8e-05,3.8e-05,3.8e-05
17,103.112,2.42264,2.66069,4.48496,0.01981,0.58673,0.13089,0.09804,0.06625,0.03546,0.13089,0.09804,0.05566,0.02529,2.67355,2.83205,4.73577,0.02525,0,3.72e-05,3.72e-05,3.72e-05
18,110.848,2.19475,2.57966,3.77094,0.01683,0.52441,0.14403,0.14706,0.07082,0.03763,0.13613,0.12745,0.06055,0.02698,2.62119,2.6647,4.45063,0.02589,0,3.64e-05,3.64e-05,3.64e-05
19,117.846,2.27307,2.5394,4.05068,0.01836,0.54923,0.13242,0.13725,0.07024,0.03709,0.12799,0.12745,0.0579,0.02684,2.54676,2.66213,4.40305,0.02402,0,3.56e-05,3.56e-05,3.56e-05
20,124.78,2.34915,2.49383,3.89819,0.01829,0.48489,0.13242,0.13725,0.07024,0.03709,0.12799,0.12745,0.0579,0.02684,2.54676,2.66213,4.40305,0.02402,0,3.48e-05,3.48e-05,3.48e-05
21,131.494,2.27215,2.42538,3.70644,0.01736,0.44361,0.13933,0.14706,0.07392,0.03742,0.12198,0.11076,0.05854,0.02732,2.56055,2.52899,4.3273,0.02503,0,3.4e-05,3.4e-05,3.4e-05
22,138.52,2.26579,2.34074,3.81665,0.01758,0.4712,0.12618,0.14706,0.07108,0.03812,0.13685,0.12934,0.05922,0.02875,2.53759,2.50687,4.36717,0.02445,0,3.32e-05,3.32e-05,3.32e-05
23,145.784,2.21493,2.41057,3.97509,0.01674,0.46618,0.12618,0.14706,0.07108,0.03812,0.13685,0.12934,0.05922,0.02875,2.53759,2.50687,4.36717,0.02445,0,3.24e-05,3.24e-05,3.24e-05
24,152.201,2.19786,2.42184,3.74947,0.01704,0.52605,0.13285,0.14706,0.07634,0.04064,0.13681,0.11765,0.0638,0.02859,2.49159,2.56537,4.25916,0.0226,0,3.16e-05,3.16e-05,3.16e-05
25,158.598,2.23166,2.35182,3.73228,0.0186,0.42185,0.16694,0.12745,0.08142,0.04288,0.14937,0.11765,0.06304,0.02981,2.46029,2.48282,4.27947,0.02301,0,3.08e-05,3.08e-05,3.08e-05
26,165.468,2.22948,2.40121,3.71145,0.01838,0.44132,0.16694,0.12745,0.08142,0.04288,0.14937,0.11765,0.06304,0.02981,2.46029,2.48282,4.27947,0.02301,0,3e-05,3e-05,3e-05
27,172.305,2.30237,2.31281,3.63099,0.01913,0.45466,0.14015,0.14706,0.08179,0.04507,0.11212,0.11765,0.05443,0.02807,2.41384,2.43336,4.204,0.02214,0,2.92e-05,2.92e-05,2.92e-05
28,179.42,2.23577,2.16355,3.54848,0.01791,0.43303,0.14015,0.14706,0.08179,0.04507,0.11212,0.11765,0.05443,0.02807,2.41384,2.43336,4.204,0.02214,0,2.84e-05,2.84e-05,2.84e-05
29,187.037,2.00677,2.26484,3.4159,0.01441,0.4366,0.14128,0.15833,0.0891,0.0446,0.1399,0.12745,0.06558,0.03089,2.44491,2.43225,4.14921,0.02236,0,2.76e-05,2.76e-05,2.76e-05
30,194.097,2.20868,2.27714,3.34432,0.0165,0.39773,0.1534,0.14706,0.08457,0.0444,0.11637,0.12745,0.06565,0.03033,2.36146,2.52517,4.2023,0.02131,0,2.68e-05,2.68e-05,2.68e-05
31,200.112,2.16403,2.17916,3.42349,0.01649,0.40105,0.1534,0.14706,0.08457,0.0444,0.11637,0.12745,0.06565,0.03033,2.36146,2.52517,4.2023,0.02131,0,2.6e-05,2.6e-05,2.6e-05
32,207.163,2.12281,2.25203,3.65865,0.0177,0.42662,0.17106,0.14706,0.0884,0.04837,0.14399,0.1269,0.06802,0.0315,2.28155,2.50274,4.10541,0.02022,0,2.52e-05,2.52e-05,2.52e-05
33,218.66,2.14412,2.15492,3.43246,0.01533,0.40056,0.18377,0.15686,0.0968,0.04922,0.13936,0.11765,0.06546,0.03486,2.36537,2.44667,4.00965,0.02144,0,2.44e-05,2.44e-05,2.44e-05
34,225.716,2.14398,2.29162,3.62756,0.01703,0.44098,0.18377,0.15686,0.0968,0.04922,0.13936,0.11765,0.06546,0.03486,2.36537,2.44667,4.00965,0.02144,0,2.36e-05,2.36e-05,2.36e-05
35,231.594,2.12089,2.12923,3.16538,0.01627,0.39212,0.17291,0.13725,0.0886,0.04905,0.14048,0.12745,0.06534,0.03091,2.25777,2.47016,4.08252,0.02001,0,2.28e-05,2.28e-05,2.28e-05
36,237.982,2.24427,2.2521,3.45811,0.01594,0.42041,0.17759,0.14706,0.09272,0.04901,0.13558,0.12745,0.0682,0.03214,2.23141,2.45538,4.02403,0.02,0,2.2e-05,2.2e-05,2.2e-05
37,246.085,2.07146,2.11937,3.30381,0.01463,0.44203,0.17759,0.14706,0.09272,0.04901,0.13558,0.12745,0.0682,0.03214,2.23141,2.45538,4.02403,0.02,0,2.12e-05,2.12e-05,2.12e-05
38,253.163,2.10887,2.11739,3.25344,0.01574,0.42131,0.18785,0.15686,0.09869,0.05338,0.15371,0.12745,0.07295,0.03496,2.21723,2.4686,3.82662,0.02027,0,2.04e-05,2.04e-05,2.04e-05
39,259.651,2.0946,2.09385,3.32788,0.01614,0.40408,0.18785,0.15686,0.09869,0.05338,0.15371,0.12745,0.07295,0.03496,2.21723,2.4686,3.82662,0.02027,0,1.96e-05,1.96e-05,1.96e-05
40,265.758,2.0811,2.09627,3.26651,0.01564,0.41035,0.20916,0.15515,0.10412,0.0579,0.17072,0.12709,0.07651,0.03644,2.1804,2.4582,3.79672,0.01961,0,1.88e-05,1.88e-05,1.88e-05
41,274.896,1.92976,1.93598,2.88296,0.01542,0.39743,0.2104,0.1567,0.10451,0.05754,0.16275,0.12745,0.07841,0.03557,2.20928,2.44395,3.67675,0.02042,0,1.8e-05,1.8e-05,1.8e-05
42,281.261,1.96613,1.96984,3.00036,0.01459,0.3893,0.2104,0.1567,0.10451,0.05754,0.16275,0.12745,0.07841,0.03557,2.20928,2.44395,3.67675,0.02042,0,1.72e-05,1.72e-05,1.72e-05
43,287.146,2.01433,1.91951,2.9187,0.01481,0.38202,0.19962,0.15638,0.10792,0.05984,0.1692,0.13043,0.08908,0.03782,2.15481,2.36193,3.56208,0.02077,0,1.64e-05,1.64e-05,1.64e-05
44,293.848,1.99682,2.07591,3.03467,0.01394,0.38775,0.16121,0.19608,0.11348,0.06627,0.18079,0.14706,0.09376,0.042,2.12603,2.35877,3.41084,0.01989,0,1.56e-05,1.56e-05,1.56e-05
45,299.856,1.92482,1.90673,3.06346,0.01381,0.36707,0.16121,0.19608,0.11348,0.06627,0.18079,0.14706,0.09376,0.042,2.12603,2.35877,3.41084,0.01989,0,1.48e-05,1.48e-05,1.48e-05
46,309.015,1.94957,2.01798,3.08359,0.01504,0.40047,0.22276,0.14706,0.10835,0.0595,0.14348,0.11765,0.06892,0.03416,2.15528,2.35216,3.56066,0.02067,0,1.4e-05,1.4e-05,1.4e-05
47,315.627,2.01513,2.03762,3.08266,0.0142,0.38647,0.16834,0.18627,0.12257,0.06784,0.15492,0.16667,0.10013,0.045,2.08933,2.34595,3.41637,0.01911,0,1.32e-05,1.32e-05,1.32e-05
48,321.954,1.89976,1.86559,3.01704,0.01416,0.37354,0.16834,0.18627,0.12257,0.06784,0.15492,0.16667,0.10013,0.045,2.08933,2.34595,3.41637,0.01911,0,1.24e-05,1.24e-05,1.24e-05
49,328.151,1.84495,1.96858,2.85039,0.01387,0.37225,0.17651,0.16667,0.11692,0.06562,0.18435,0.13725,0.09523,0.04335,2.10083,2.34403,3.46444,0.01966,0,1.16e-05,1.16e-05,1.16e-05
50,334.713,1.91034,1.87484,2.94213,0.0136,0.38571,0.22077,0.13725,0.1147,0.06447,0.17818,0.13574,0.0886,0.04007,2.14442,2.33087,3.41976,0.0207,0,1.08e-05,1.08e-05,1.08e-05
