epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.57574,2.73559,3.64061,5.04573,0.02254,1.05017,0.12969,0.03922,0.02548,0.01602,0.02874,0.04902,0.01706,0.00923,2.92392,3.58032,6.07084,0.03678,0,2e-05,2e-05,2e-05
2,12.1742,2.63731,3.50949,4.66385,0.02371,0.99435,0.16681,0.04902,0.04624,0.02819,0.16681,0.04902,0.03555,0.01463,3.04617,3.92777,5.94386,0.03101,0,1.94667e-05,1.94667e-05,1.94667e-05
3,17.933,2.93103,4.15509,4.83769,0.02621,1.08162,0.16681,0.04902,0.04624,0.02819,0.16681,0.04902,0.03555,0.01463,3.04617,3.92777,5.94386,0.03101,0,1.89333e-05,1.89333e-05,1.89333e-05
4,23.5529,2.73035,3.97815,4.91765,0.02747,1.02972,0.1674,0.04902,0.04633,0.03011,0.1674,0.04902,0.03503,0.01467,2.93455,3.94439,6.06469,0.02956,0,1.84e-05,1.84e-05,1.84e-05
5,29.3006,2.62761,3.80339,4.80699,0.02325,1.00796,0.16262,0.04902,0.04669,0.02843,0.16262,0.04902,0.03838,0.01477,3.04913,4.0261,6.09298,0.03095,0,1.78667e-05,1.78667e-05,1.78667e-05
6,34.9592,2.82451,4.02351,4.99111,0.02515,1.1468,0.16262,0.04902,0.04669,0.02843,0.16262,0.04902,0.03838,0.01477,3.04913,4.0261,6.09298,0.03095,0,1.73333e-05,1.73333e-05,1.73333e-05
7,40.8589,2.58667,3.44775,4.93957,0.02358,1.0241,0.12138,0.05034,0.04742,0.02878,0.12138,0.05034,0.03477,0.01467,3.05055,3.88269,5.95709,0.03093,0,1.68e-05,1.68e-05,1.68e-05
8,46.8007,2.48538,3.30978,4.88247,0.02027,0.98697,0.15647,0.04902,0.04657,0.0296,0.15647,0.04902,0.03534,0.01555,2.87233,3.82888,5.98735,0.02906,0,1.62667e-05,1.62667e-05,1.62667e-05
9,53.5173,2.67134,3.49019,4.59225,0.02311,0.99999,0.15647,0.04902,0.04657,0.0296,0.15647,0.04902,0.03534,0.01555,2.87233,3.82888,5.98735,0.02906,0,1.57333e-05,1.57333e-05,1.57333e-05
10,59.967,2.67992,3.60656,4.69314,0.02498,0.92001,0.16241,0.04902,0.04635,0.03036,0.16241,0.04902,0.0356,0.01569,2.7796,3.80493,5.9225,0.02762,0,1.52e-05,1.52e-05,1.52e-05
11,65.8877,2.59633,3.14343,4.76302,0.02351,0.97885,0.12515,0.04902,0.04549,0.02929,0.12515,0.04902,0.0349,0.01544,2.8813,3.82432,5.80625,0.02924,0,1.46667e-05,1.46667e-05,1.46667e-05
12,72.0031,2.66483,3.32327,4.99507,0.02544,0.93444,0.12515,0.04902,0.04549,0.02929,0.12515,0.04902,0.0349,0.01544,2.8813,3.82432,5.80625,0.02924,0,1.41333e-05,1.41333e-05,1.41333e-05
13,78.0059,2.80481,4.01879,5.04612,0.02605,1.00688,0.15762,0.04902,0.04561,0.02904,0.15762,0.04902,0.03396,0.01508,2.84594,3.72161,5.86311,0.02785,0,1.36e-05,1.36e-05,1.36e-05
14,83.792,2.53551,3.28247,4.59225,0.02494,0.87299,0.15762,0.04902,0.04561,0.02904,0.15762,0.04902,0.03396,0.01508,2.84594,3.72161,5.86311,0.02785,0,1.30667e-05,1.30667e-05,1.30667e-05
15,89.6984,2.77574,3.76685,4.77757,0.02554,0.8901,0.133,0.05692,0.04594,0.02937,0.133,0.05692,0.03477,0.01537,2.82691,3.70513,5.79686,0.02811,0,1.25333e-05,1.25333e-05,1.25333e-05
16,96.1191,2.53456,3.09682,4.4283,0.02146,0.89517,0.16094,0.04902,0.04685,0.03035,0.16094,0.04902,0.03514,0.01561,2.76037,3.61662,5.77562,0.0274,0,1.2e-05,1.2e-05,1.2e-05
17,102.491,2.60434,3.228,4.95697,0.02192,0.92239,0.16094,0.04902,0.04685,0.03035,0.16094,0.04902,0.03514,0.01561,2.76037,3.61662,5.77562,0.0274,0,1.14667e-05,1.14667e-05,1.14667e-05
18,108.651,2.55713,3.22575,4.46676,0.02057,0.86961,0.11965,0.05882,0.04492,0.02898,0.11965,0.05882,0.03493,0.01609,2.76235,3.56046,5.69035,0.02703,0,1.09333e-05,1.09333e-05,1.09333e-05
